,Year,Month,soi3m,nino5m,CEI,category,code
2013-11-01,2013,11,0.43736011999083774,-0.2562122103162648,-0.6935723303071025,Neutral,0.0
2013-12-01,2013,12,0.33645910898037923,-0.22365688998174954,-0.5601159989621287,Neutral,0.0
2014-01-01,2014,1,0.7779628017762895,-0.25636986319924254,-1.034332664975532,Neutral,0.0
2014-02-01,2014,2,0.48309757486834154,-0.35435112996873963,-0.8374487048370811,Neutral,0.0
2014-03-01,2014,3,0.12494986972292532,-0.37366360813328336,-0.4986134778562087,Neutral,0.0
2014-04-01,2014,4,0.03239557195143363,-0.31265194242162847,-0.3450475143730621,Neutral,0.0
2014-05-01,2014,5,0.30382629570901887,-0.17809520680173435,-0.4819215025107532,Neutral,0.0
2014-06-01,2014,6,0.7228776223427905,0.027957111247716195,-0.6949205110950744,Neutral,0.0
2014-07-01,2014,7,0.3042621892082996,0.18237811012257188,-0.12188407908572774,Neutral,0.0
2014-08-01,2014,8,-0.2931956034527233,0.23456121438758293,0.5277568178403063,Neutral,0.0
2014-09-01,2014,9,-0.668441739577671,0.25639613867974176,0.9248378782574127,Neutral,0.0
2014-10-01,2014,10,-0.8171493366415538,0.267983625578469,1.0851329622200228,Neutral,0.0
2014-11-01,2014,11,-0.8550467255613858,0.3775523792466916,1.2325991048080773,Neutral,0.0
2014-12-01,2014,12,-0.7608748832281624,0.5425361212809285,1.303411004509091,NINO3.4 NINO,1.0
2015-01-01,2015,1,-0.777177261424471,0.6635347089648981,1.4407119703893692,NINO3.4 NINO,1.0
2015-02-01,2015,2,-0.35613628007546905,0.6979818638951226,1.0541181439705918,NINO3.4 NINO,1.0
2015-03-01,2015,3,-0.41850781438736956,0.7046821114215956,1.1231899258089653,NINO3.4 NINO,1.0
2015-04-01,2015,4,-0.18542804229017656,0.6994795662833893,0.8849076085735659,NINO3.4 NINO,1.0
2015-05-01,2015,5,-0.6605277356738054,0.767822091053423,1.4283498267272283,NINO3.4 NINO,1.0
2015-06-01,2015,6,-0.7306487085005446,0.9596856496350457,1.6903343581355903,NINO3.4 NINO,1.0
2015-07-01,2015,7,-1.2759883017773692,1.2299815174971573,2.5059698192745268,CEI NINO,3.0
2015-08-01,2015,8,-1.493557462831825,1.5706693976079908,3.064226860439816,CEI NINO,3.0
2015-09-01,2015,9,-1.8267704788685213,1.899927443703075,3.7266979225715966,CEI NINO,3.0
2015-10-01,2015,10,-1.9349555498405413,2.2236676388940033,4.158623188734545,CEI NINO,3.0
2015-11-01,2015,11,-1.5043094769887397,2.574445303515291,4.078754780504031,CEI NINO,3.0
2015-12-01,2015,12,-1.1670368459903844,2.8411151550689584,4.008152001059343,CEI NINO,3.0
2016-01-01,2016,1,-1.1490798741757182,2.983396881954669,4.132476756130387,CEI NINO,3.0
